,ativo,retorno_ult_ativo,ranking_ativo,segmento
84,VIVA3,1.28,85,varejo_especializado
85,SMAL11,1.24,86,small11
86,SMLS3,1.13,87,aereas
87,JHSF3,1.12,88,incorporadora
88,YDUQ3,0.52,89,educacao
89,POSI3,0.42,90,tech
90,EUCA4,0.4,91,material_construcao
91,SBSP3,0.31,92,saneamento
92,ADHM3,0.0,93,saude
93,LOGN3,0.0,94,infra_logistica
94,MULT3,-0.14,95,incorporadora
95,BEEF3,-0.31,96,agro
96,TAEE11,-0.34,97,energia
97,GMAT3,-0.35,98,varejo
98,TIET11,-0.36,99,energia
99,BRDT3,-0.4,100,oleo_gas
100,WEGE3,-0.41,101,industriais
101,BBSE3,-0.42,102,seguro
102,B3SA3,-0.42,103,servicos_financeiro
103,CCPR3,-0.65,104,incorporadora
104,HYPE3,-0.82,105,saude
105,UNIP6,-0.85,106,quimicos
106,CEAB3,-1.17,107,vestuario
107,EQPA3,-1.44,108,energia
108,CIEL3,-1.48,109,servicos_financeiro
109,HAGA4,-1.5,110,material_construcao
110,CURY3,-1.59,111,construtoras
111,ETER3,-1.65,112,material_construcao
112,UGPA3,-1.72,113,oleo_gas
113,ABCB4,-1.95,114,bancos
114,ENBR3,-2.02,115,energia
115,LAVV3,-2.14,116,incorporadora
116,CPLE3,-2.16,117,energia
117,CSMG3,-2.22,118,saneamento
118,BBSE3,-2.23,119,seguro
119,PNVL3,-2.38,120,saude
120,ECOR3,-2.42,121,infra_logistica
121,TRIS3,-2.49,122,construtoras
122,ALUP11,-2.52,123,energia
123,MILS3,-2.54,124,industriais
124,BRPR3,-2.62,125,incorporadora
125,PSSA3,-2.67,126,seguro
126,RNEW3,-2.76,127,energia_renovavel
127,BKBR3,-2.77,128,comidas_bedidas_farmacia
128,ALPA4,-2.89,129,vestuario
129,BOVA11,-3.01,130,bova11
130,SEER3,-3.22,131,educacao
131,QUAL3,-3.36,132,seguro
132,SHUL4,-3.39,133,pecas_auto
133,PMAM3,-3.42,134,mineracao_metais
134,AERI3,-3.48,135,energia
135,CCRO3,-3.63,136,infra_logistica
136,LREN3,-3.74,137,vestuario
137,RENT3,-3.91,138,locadoras
138,MEAL3,-4.2,139,comidas_bedidas_farmacia
139,BIOM3,-4.22,140,saude
140,VVAR3,-4.23,141,varejo
141,GRND3,-4.25,142,vestuario
142,AMAR3,-4.43,143,vestuario
143,PARD3,-4.49,144,saude
144,KLBN11,-4.71,145,celulose
145,CAML3,-4.81,146,agro
146,OSXB3,-4.95,147,oleo_gas
147,RAPT4,-5.03,148,pecas_auto
148,ALPK3,-5.12,149,incorporadora
149,TEND3,-5.21,150,construtoras
150,BEES3,-5.22,151,bancos
151,LOGG3,-5.23,152,infra_logistica
152,PINE4,-5.46,153,bancos
153,HAPV3,-5.49,154,saude
154,SNSY5,-5.99,155,industriais
155,AMBP3,-5.99,156,saneamento
156,CMIG3,-6.08,157,energia
157,TCNO4,-6.16,158,incorporadora
158,MYPK3,-6.16,159,pecas_auto
159,GNDI3,-6.27,160,saude
160,AALR3,-6.28,161,saude
161,DTEX3,-6.53,162,material_construcao
162,HBOR3,-6.57,163,incorporadora
